19.55,28.77,0.0
11.13,16.62,1.0
13.82,24.49,0.0
16.5,18.29,1.0
21.56,22.39,0.0
13.17,18.22,1.0
8.878,15.49,1.0
19.68,21.68,0.0
18.31,20.58,0.0
20.6,29.33,0.0
12.95,16.02,1.0
14.45,20.22,0.0
12.34,12.27,1.0
18.66,17.12,0.0
15.08,25.74,0.0
14.87,20.21,1.0
14.47,24.99,1.0
11.69,24.44,1.0
13.5,12.71,1.0
11.3,18.19,1.0
15.75,20.25,0.0
17.35,23.06,0.0
9.668,18.1,1.0
11.26,19.96,1.0
10.82,24.21,1.0
16.14,14.86,1.0
21.16,23.04,0.0
11.89,21.17,1.0
10.6,18.95,1.0
9.436,18.32,1.0
12.89,14.11,1.0
11.14,14.07,1.0
12.0,28.23,1.0
13.94,13.17,1.0
18.46,18.52,0.0
10.95,21.35,0.0
11.7,19.11,1.0
11.89,17.36,1.0
13.46,18.75,1.0
18.82,21.97,0.0
10.2,17.48,1.0
12.06,12.74,1.0
13.59,21.84,1.0
15.5,21.08,0.0
12.68,23.84,0.0
14.42,16.54,1.0
9.0,14.4,1.0
9.876,17.27,1.0
16.17,16.07,1.0
17.99,20.66,0.0
12.89,15.7,1.0
14.74,25.42,1.0
11.06,17.12,1.0
13.8,15.79,0.0
13.0,20.78,1.0
12.4,17.68,1.0
12.18,14.08,1.0
16.78,18.8,0.0
17.47,24.68,0.0
11.99,24.89,1.0
11.8,17.26,1.0
9.333,21.94,1.0
13.77,13.27,1.0
14.03,21.25,1.0
18.05,16.15,0.0
14.6,23.29,0.0
14.96,19.1,1.0
13.08,15.71,1.0
12.88,18.22,1.0
12.65,18.17,1.0
11.32,27.08,1.0
13.3,21.57,1.0
9.738,11.97,1.0
17.6,23.33,0.0
16.27,20.71,0.0
20.48,21.46,0.0
14.86,23.21,0.0
14.02,15.66,1.0
10.71,20.39,1.0
14.86,16.94,1.0
12.47,18.6,1.0
10.49,19.29,1.0
18.94,21.31,0.0
11.54,14.44,1.0
15.12,16.68,0.0
13.64,16.34,1.0
13.7,17.64,1.0
7.76,24.54,1.0
12.23,19.56,1.0
13.71,18.68,1.0
13.66,19.13,1.0
12.75,16.7,1.0
20.55,20.86,0.0
20.16,19.66,0.0
19.1,26.29,0.0
10.91,12.35,1.0
20.57,17.77,0.0
11.71,15.45,1.0
13.81,23.75,0.0
14.26,18.17,1.0
19.0,18.91,0.0
16.65,21.38,0.0
13.73,22.61,0.0
12.18,20.52,1.0
27.22,21.87,0.0
27.42,26.27,0.0
13.2,17.43,1.0
19.18,22.49,0.0
9.268,12.87,1.0
20.26,23.03,0.0
15.1,16.39,1.0
15.32,17.27,0.0
12.62,23.97,1.0
11.68,16.17,1.0
